seed,n_wings,exemplar_cost,budget,cap,n_supplies,total_value,plan_value,plan_cost,n_trips,best_source,solve_time_s,status,error
24092014,3,7918.0,4750.8,5,30,78,70,4694.0,10,learned ACO restart 1,15.848,ok,
24092013,2,5468.0,3280.8,5,30,76,68,3163.0,7,learned ACO restart 1,17.21,ok,
24092010,2,8024.0,4814.4,5,30,88,78,4795.0,10,learned ACO restart 2,17.902,ok,
24092009,4,15154.0,9092.4,5,30,83,70,9058.0,8,learned ACO restart 3,18.805,ok,
24092011,3,9394.0,5636.4,5,30,104,92,5531.0,10,learned ACO restart 2,18.942,ok,
24092008,3,10236.0,6141.6,5,30,94,80,5980.0,14,learned ACO restart 1,19.699,ok,
24092012,4,11324.0,6794.4,5,30,84,75,6651.0,10,learned ACO restart 1,23.191,ok,
24092015,4,8519.0,5111.4,5,30,90,81,4975.0,10,learned ACO restart 2,23.645,ok,
24092016,2,10356.0,6213.6,5,30,94,81,6010.0,11,learned ACO restart 1,15.132,ok,
24092018,4,20387.0,12232.2,5,30,95,87,12110.0,12,learned ACO restart 1,15.683,ok,
24092019,2,8502.0,5101.2,5,30,105,93,5079.0,11,learned ACO restart 1,16.224,ok,
24092017,3,4933.0,2959.8,5,30,90,80,2891.0,10,learned ACO restart 1,21.144,ok,
24092020,3,6149.0,3689.4,5,30,94,80,3622.0,11,learned ACO restart 2,19.79,ok,
24092022,2,6768.0,4060.8,5,30,91,77,3971.0,10,learned ACO restart 1,15.83,ok,
24092021,4,17433.0,10459.8,5,30,93,81,10189.0,7,learned ACO restart 3,20.48,ok,
24092023,3,6542.0,3925.2,5,30,96,88,3764.0,9,learned ACO restart 1,18.769,ok,
24092024,4,10992.0,6595.2,5,30,98,86,6531.0,10,learned ACO restart 3,19.895,ok,
24092025,2,10243.0,6145.8,5,30,93,86,6066.0,13,learned ACO restart 1,19.033,ok,
24092026,3,5495.0,3297.0,5,30,105,93,3253.0,10,learned ACO restart 1,18.25,ok,
24092028,2,7922.0,4753.2,5,30,95,87,4681.0,10,learned ACO restart 1,17.002,ok,
24092030,4,12482.0,7489.2,5,30,103,96,7459.0,12,learned ACO restart 1,18.487,ok,
