seed,n_wings,exemplar_cost,budget,cap,n_supplies,total_value,plan_value,plan_cost,n_trips,best_source,solve_time_s,status,error
30002012,4,10512.0,3679.2,5,30,96,64,3663.0,7,learned ACO restart 1,14.982,ok,
30002015,4,17158.0,6005.3,5,30,103,69,5897.0,6,learned ACO restart 1,15.13,ok,
30002016,2,6052.0,2118.2,5,30,82,57,2071.0,7,learned ACO restart 1,15.354,ok,
30002009,4,15596.0,5458.6,5,30,88,66,5449.0,8,learned ACO restart 1,15.657,ok,
30002014,3,7186.0,2515.1,5,30,101,72,2507.0,8,learned ACO restart 1,16.224,ok,
30002013,2,7613.0,2664.55,5,30,79,53,2659.0,7,learned ACO restart 1,16.501,ok,
30002010,2,5608.0,1962.8,5,30,91,59,1959.0,5,learned ACO restart 1,16.638,ok,
30002011,3,12253.0,4288.55,5,30,95,64,4153.0,7,learned ACO restart 1,16.898,ok,
30002018,4,19264.0,6742.4,5,30,96,69,6592.0,7,learned ACO restart 3,10.675,ok,
30002023,3,6836.0,2392.6,5,30,96,56,2377.0,6,learned ACO restart 1,9.5,ok,
30002020,3,15395.0,5388.25,5,30,88,68,5362.0,8,learned ACO restart 1,12.031,ok,
30002017,3,7191.0,2516.85,5,30,99,60,2473.0,6,learned ACO restart 1,12.739,ok,
30002021,4,11534.0,4036.9,5,30,101,67,3972.0,9,learned ACO restart 2,11.929,ok,
30002019,2,7100.0,2485.0,5,30,97,74,2436.0,8,learned ACO restart 1,12.926,ok,
30002024,4,11605.0,4061.75,5,30,98,57,4051.0,8,learned ACO restart 1,11.786,ok,
30002022,2,6664.0,2332.4,5,30,88,61,2330.0,7,learned ACO restart 3,12.56,ok,
30002026,3,9593.0,3357.55,5,30,95,62,3291.0,8,learned ACO restart 2,11.746,ok,
30002025,2,7366.0,2578.1,5,30,104,63,2527.0,8,learned ACO restart 2,12.819,ok,
30002027,4,22854.0,7998.9,5,30,84,62,7911.0,8,learned ACO restart 1,11.918,ok,
30002032,3,6019.0,2106.65,5,30,91,65,2082.0,7,learned ACO restart 1,11.085,ok,
30002028,2,7200.0,2520.0,5,30,85,52,2478.0,8,learned ACO restart 3,13.478,ok,
30002029,3,12841.0,4494.35,5,30,86,64,4447.0,7,learned ACO restart 1,13.325,ok,
30002031,2,4136.0,1447.6,5,30,90,57,1447.0,6,learned ACO restart 1,13.632,ok,
30002030,4,16072.0,5625.2,5,30,95,70,5445.0,9,learned ACO restart 1,14.373,ok,
30002033,4,9197.0,3218.95,5,30,86,56,3217.0,8,learned ACO restart 1,11.117,ok,
30002036,4,14535.0,5087.25,5,30,87,59,5034.0,8,learned ACO restart 2,10.563,ok,
30002034,2,7770.0,2719.5,5,30,91,57,2702.0,6,learned ACO restart 2,12.27,ok,
30002038,3,8480.0,2968.0,5,30,75,50,2952.0,7,learned ACO restart 1,10.792,ok,
30002037,2,5956.0,2084.6,5,30,87,54,2031.0,6,learned ACO restart 1,11.351,ok,
30002035,3,6201.0,2170.35,5,30,91,68,2157.0,7,learned ACO restart 1,13.467,ok,
30002040,2,5919.0,2071.65,5,30,77,50,2030.0,6,learned ACO restart 1,10.954,ok,
30002039,4,20833.0,7291.55,5,30,76,54,7041.0,8,learned ACO restart 1,11.836,ok,
30002042,4,14633.0,5121.55,5,30,97,64,5044.0,7,learned ACO restart 1,11.901,ok,
30002043,2,5172.0,1810.2,5,30,110,60,1797.0,6,learned ACO restart 1,11.896,ok,
30002041,3,11970.0,4189.5,5,30,78,56,4144.0,10,learned ACO restart 2,13.849,ok,
30002046,2,9588.0,3355.8,5,30,98,68,3259.0,8,learned ACO restart 2,10.302,ok,
30002044,3,7196.0,2518.6,5,30,87,61,2465.0,7,learned ACO restart 1,11.116,ok,
30002045,4,13723.0,4803.05,5,30,82,55,4699.0,7,learned ACO restart 2,11.014,ok,
30002047,3,7505.0,2626.75,5,30,93,60,2524.0,6,learned ACO restart 1,12.296,ok,
30002048,4,15268.0,5343.8,5,30,82,62,5276.0,8,learned ACO restart 1,11.867,ok,
30002049,2,7099.0,2484.65,5,30,91,64,2426.0,7,learned ACO restart 1,11.866,ok,
30002050,3,8825.0,3088.75,5,30,92,64,2994.0,6,learned ACO restart 1,12.033,ok,
30002051,4,21215.0,7425.25,5,30,90,66,7244.0,9,learned ACO restart 1,12.32,ok,
30002053,3,6470.0,2264.5,5,30,85,57,2215.0,5,learned ACO restart 1,11.914,ok,
30002052,2,5888.0,2060.8,5,30,94,70,1964.0,8,learned ACO restart 1,12.088,ok,
30002054,4,17713.0,6199.55,5,30,87,73,5908.0,12,learned ACO restart 1,12.887,ok,
30002055,2,6011.0,2103.85,5,30,80,54,2073.0,7,learned ACO restart 2,10.658,ok,
30002056,3,14373.0,5030.55,5,30,83,62,5013.0,8,learned ACO restart 1,12.301,ok,
30002061,2,8392.0,2937.2,5,30,93,64,2870.0,7,learned ACO restart 1,13.003,ok,
30002062,3,11553.0,4043.55,5,30,94,76,3900.0,8,learned ACO restart 1,12.194,ok,
30002058,2,8252.0,2888.2,5,30,86,60,2825.0,8,learned ACO restart 1,13.804,ok,
30002057,4,13682.0,4788.7,5,30,90,64,4741.0,7,learned ACO restart 2,14.24,ok,
30002060,4,18646.0,6526.1,5,30,91,59,6411.0,8,learned ACO restart 1,13.681,ok,
30002063,4,12379.0,4332.65,5,30,83,60,4332.0,7,learned ACO restart 3,14.881,ok,
30002059,3,4825.0,1688.75,5,30,82,59,1676.0,5,learned ACO restart 3,17.118,ok,
30002064,2,7912.0,2769.2,5,30,87,58,2749.0,8,learned ACO restart 3,15.484,ok,
30002065,3,9091.0,3181.85,5,30,91,61,3098.0,7,learned ACO restart 2,11.364,ok,
30002067,2,6895.0,2413.25,5,30,73,57,2384.0,7,learned ACO restart 1,11.26,ok,
30002069,4,18432.0,6451.2,5,30,75,56,6242.0,8,learned ACO restart 1,10.952,ok,
30002066,4,17242.0,6034.7,5,30,86,60,5863.0,6,learned ACO restart 1,12.184,ok,
30002068,3,5744.0,2010.4,5,30,83,58,2007.0,6,learned ACO restart 1,12.653,ok,
30002070,2,9490.0,3321.5,5,30,85,57,3169.0,7,learned ACO restart 1,11.213,ok,
30002071,3,10569.0,3699.15,5,30,84,60,3680.0,7,learned ACO restart 2,11.572,ok,
30002072,4,11216.0,3925.6,5,30,94,62,3804.0,6,learned ACO restart 1,11.524,ok,
30002073,2,7445.0,2605.75,5,30,80,54,2529.0,7,learned ACO restart 2,10.804,ok,
30002075,4,17849.0,6247.15,5,30,102,69,6151.0,8,learned ACO restart 2,11.01,ok,
30002074,3,5690.0,1991.5,5,30,92,58,1990.0,7,learned ACO restart 2,12.032,ok,
30002077,3,5924.0,2073.4,5,30,94,57,2026.0,6,learned ACO restart 2,11.086,ok,
30002076,2,7339.0,2568.65,5,30,100,72,2553.0,9,learned ACO restart 1,12.922,ok,
30002079,2,8657.0,3029.95,5,30,105,76,2991.0,10,learned ACO restart 1,11.624,ok,
30002078,4,13985.0,4894.75,5,30,85,63,4855.0,6,learned ACO restart 1,12.891,ok,
30002080,3,5883.0,2059.05,5,30,92,69,2035.0,6,learned ACO restart 1,10.577,ok,
30002081,4,14480.0,5068.0,5,30,81,63,4913.0,7,learned ACO restart 3,10.4,ok,
30002084,4,14874.0,5205.9,5,30,89,65,5063.0,8,learned ACO restart 2,9.902,ok,
30002082,2,6812.0,2384.2,5,30,100,64,2341.0,7,learned ACO restart 1,11.71,ok,
30002083,3,9225.0,3228.75,5,30,88,63,3222.0,8,learned ACO restart 1 + swap search,12.458,ok,
30002088,2,7524.0,2633.4,5,30,84,51,2560.0,5,learned ACO restart 1,9.905,ok,
